workflow_name,average_duration,median_duration,success_rate,total_runs
ROI Aggregator,63.93,81.00,82.35,68
PR sync checks,9.33,9.00,66.67,3
.github/workflows/dora-basics.yml,0.00,0.00,0.00,7
Scope check,8.87,9.00,80.00,15
Scope Guard,13.80,14.00,98.87,266
CI Hours,14.39,15.00,95.38,173
First-Pass PR Success,30.05,31.00,100.00,136
ROI Aggregator (Artifacts Only),20.85,21.00,89.10,156
ROI Baseline Publisher,7.93,8.00,100.00,59
Up-to-date with main,8.60,9.00,100.00,5
.github/workflows/risk-update.yml,0.00,0.00,0.00,1
Deploy,8.88,9.00,100.00,16
Validate hooks config,8.67,8.00,95.96,99
.github/workflows/roi-aggregator.yml,0.00,0.00,0.00,1
purity,9.39,9.00,100.00,220
ROI Baseline,83.93,80.00,92.86,56
Metrics Preflight,47.55,50.00,100.00,141
.github/workflows/roi-aggregator-shadow.yml,0.00,0.00,0.00,7
.github/workflows/first-pass.yml,0.00,0.00,0.00,1
DORA Basics,24.67,22.00,98.35,121
.github/workflows/roi-baseline.yml,0.00,0.00,0.00,1
ShellCheck,22.36,23.00,88.55,332
Structure Validation (diagnostic),16.17,16.00,94.80,173
.github/workflows/ci-hours.yml,0.00,0.00,0.00,7
ROI Aggregator (Shadow),23.62,23.00,25.00,8
Nightly Metrics,60.69,63.00,100.00,137
maat-coupling,14.31,14.00,100.00,137
churn-pr,12.70,12.00,100.00,23
Risk Update,9.86,9.00,75.00,28
accept,67.05,62.00,98.79,331
